          Arctic                 high-north                mid-north                eq-north                 eq-south                mid-shouth               Southern Oc
   2.7976266891473506e+03   2.7946004179414672e+03   2.7908837212012245e+03   2.7848123225305576e+03   2.7848123225305576e+03   2.7908837212012245e+03   2.7950409637014213e+03
   2.9000432902663515e+03   2.8969055610914711e+03   2.8930519798098344e+03   2.8867569782983974e+03   2.8867569782983974e+03   2.8930519798098344e+03   2.8973623321241007e+03
   3.0025071182372476e+03   2.9992578347217964e+03   2.9952672506653093e+03   2.9887484534690207e+03   2.9887484534690207e+03   2.9952672506653093e+03   2.9997308450506080e+03
   3.1050180888624295e+03   3.1016571549102077e+03   3.0975294501827980e+03   3.0907866650067767e+03   3.0907866650067767e+03   3.0975294501827980e+03   3.1021464185186574e+03
   3.2075761179133478e+03   3.2041034377035185e+03   3.1998384947464870e+03   3.1928715298450484e+03   3.1928715298450484e+03   3.1998384947464870e+03   3.2046089685350162e+03
   3.3101811211345948e+03   3.3065965991216549e+03   3.3021943007136401e+03   3.2950029648902309e+03   3.2950029648902309e+03   3.3021943007136401e+03   3.3071184110795630e+03
   3.4128330142480204e+03   3.4091365551617455e+03   3.4045967844186562e+03   3.3971808870257560e+03   3.3971808870257560e+03   3.4045967844186562e+03   3.4096746621093921e+03
   3.5155317129568825e+03   3.5117232218022505e+03   3.5070458621771741e+03   3.4994052131161420e+03   3.4994052131161420e+03   3.5070458621771741e+03   3.5122776375629373e+03
   3.6182771329500356e+03   3.6143565150071217e+03   3.6095414502902036e+03   3.6016758600110811e+03   3.6016758600110811e+03   3.6095414502902036e+03   3.6149272533641401e+03
   3.7210691899061371e+03   3.7170363507299940e+03   3.7120834650482807e+03   3.7039927445495532e+03   3.7039927445495532e+03   3.7120834650482807e+03   3.7176234254266428e+03
   3.8239077994979084e+03   3.8197626449184140e+03   3.8146718227356714e+03   3.8063557835639758e+03   3.8063557835639758e+03   3.8146718227356714e+03   3.8203660696580196e+03
   3.9267928773964072e+03   3.9225353135180894e+03   3.9173064396346017e+03   3.9087648938843827e+03   3.9087648938843827e+03   3.9173064396346017e+03   3.9231551019640356e+03
   4.0297243392753512e+03   4.0253542724771955e+03   4.0199872320295131e+03   4.0112199923426392e+03   4.0112199923426392e+03   4.0199872320295131e+03   4.0259904382529471e+03
   4.1327021008154561e+03   4.1282194377506812e+03   4.1227141162113567e+03   4.1137209957766818e+03   4.1137209957766818e+03   4.1227141162113567e+03   4.1288719944398181e+03
   4.2357260777088259e+03   4.2311307253046334e+03   4.2254870084819195e+03   4.2162678210348004e+03   4.2162678210348004e+03   4.2254870084819195e+03   4.2317996864508859e+03
   4.3387961856633565e+03   4.3340880511206633e+03   4.3283058251581806e+03   4.3188603849799401e+03   4.3188603849799401e+03   4.3283058251581806e+03   4.3347734302279550e+03
   4.4419123404071888e+03   4.4370913312003249e+03   4.4311704825766992e+03   4.4214986044940397e+03   4.4214986044940397e+03   4.4311704825766992e+03   4.4377931417328091e+03
   4.5450744576931756e+03   4.5401404815695669e+03   4.5340808970980370e+03   4.5241823964824071e+03   4.5241823964824071e+03   4.5340808970980370e+03   4.5408587369516799e+03
   4.6482824533033972e+03   4.6432354182832141e+03   4.6370369851112073e+03   4.6269116778781163e+03   4.6269116778781163e+03   4.6370369851112073e+03   4.6439701318997240e+03
   4.7515362430536998e+03   4.7463760574294820e+03   4.7400386630381554e+03   4.7296863656464338e+03   4.7296863656464338e+03   4.7400386630381554e+03   4.7471272426255382e+03
   4.8548357427982683e+03   4.8495623151345253e+03   4.8430858473382814e+03   4.8325063767892952e+03   4.8325063767892952e+03   4.8430858473382814e+03   4.8503299852157261e+03
   4.9581808684342250e+03   4.9527941075670115e+03   4.9461784545129758e+03   4.9353716283497824e+03   4.9353716283497824e+03   4.9461784545129758e+03   4.9535782757994566e+03
   5.0615715359062706e+03   5.0560713509427314e+03   5.0493164011102026e+03   5.0382820374166586e+03   5.0382820374166586e+03   5.0493164011102026e+03   5.0568720305530951e+03
   5.1650076612113471e+03   5.1593939615292411e+03   5.1524996037291003e+03   5.1412375211289182e+03   5.1412375211289182e+03   5.1524996037291003e+03   5.1602111657048326e+03
   5.2684891604033319e+03   5.2627618556505222e+03   5.2557279790246239e+03   5.2442379966803737e+03   5.2442379966803737e+03   5.2557279790246239e+03   5.2635955975393717e+03
   5.3720159495977723e+03   5.3661749496916918e+03   5.3590014437122090e+03   5.3472833813242614e+03   5.3472833813242614e+03   5.3590014437122090e+03   5.3670252424026185e+03
   5.4755879449766380e+03   5.4696331601037336e+03   5.4623199145724739e+03   5.4503735923778986e+03   5.4503735923778986e+03   5.4623199145724739e+03   5.4705000167064281e+03
   5.5792050627931094e+03   5.5731364034082544e+03   5.5656833084559439e+03   5.5535085472273486e+03   5.5535085472273486e+03   5.5656833084559439e+03   5.5740198369333684e+03
