  -3.5000000e+01   9.0000000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.5600000e+02   9.6800000e+02   1.1170000e+03   9.5900000e+02   5.4600000e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
  -3.5000000e+01   8.0000000e+01   0.0000000e+00   0.0000000e+00   1.5700000e+02   5.4700000e+02   9.5400000e+02   1.1000000e+03   9.4400000e+02   5.3800000e+02   1.5400000e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00
  -3.5000000e+01   7.0000000e+01   1.0000000e+00   9.0000000e+01   3.0900000e+02   6.1400000e+02   9.1100000e+02   1.0490000e+03   9.0200000e+02   6.0300000e+02   3.0300000e+02   8.8000000e+01   1.0000000e+00   0.0000000e+00
  -3.5000000e+01   6.0000000e+01   9.5000000e+01   2.2800000e+02   4.5200000e+02   7.1600000e+02   9.3800000e+02   1.0250000e+03   9.2900000e+02   7.0300000e+02   4.4300000e+02   2.2400000e+02   9.4000000e+01   5.5000000e+01
  -3.5000000e+01   5.0000000e+01   2.2600000e+02   3.7000000e+02   5.8100000e+02   8.0600000e+02   9.7900000e+02   1.0420000e+03   9.6900000e+02   7.9100000e+02   5.6900000e+02   3.6300000e+02   2.2400000e+02   1.7700000e+02
  -3.5000000e+01   4.0000000e+01   3.6500000e+02   5.0400000e+02   6.9200000e+02   8.7500000e+02   1.0050000e+03   1.0490000e+03   9.9500000e+02   8.6000000e+02   6.7800000e+02   4.9500000e+02   3.6100000e+02   3.1300000e+02
  -3.5000000e+01   3.0000000e+01   5.0000000e+02   6.2600000e+02   7.8200000e+02   9.2100000e+02   1.0090000e+03   1.0350000e+03   9.9900000e+02   9.0500000e+02   7.6600000e+02   6.1500000e+02   4.9500000e+02   4.5100000e+02
  -3.5000000e+01   2.0000000e+01   6.2600000e+02   7.3000000e+02   8.4900000e+02   9.4000000e+02   9.8700000e+02   9.9700000e+02   9.7700000e+02   9.2400000e+02   8.3200000e+02   7.1700000e+02   6.1900000e+02   5.8200000e+02
  -3.5000000e+01   1.0000000e+01   7.3600000e+02   8.1300000e+02   8.9000000e+02   9.3200000e+02   9.4000000e+02   9.3400000e+02   9.3000000e+02   9.1600000e+02   8.7200000e+02   7.9900000e+02   7.2800000e+02   7.0000000e+02
  -3.5000000e+01   0.0000000e+00   8.2700000e+02   8.7300000e+02   9.0300000e+02   8.9700000e+02   8.6700000e+02   8.4700000e+02   8.5800000e+02   8.8200000e+02   8.8500000e+02   8.5800000e+02   8.1800000e+02   8.0200000e+02
  -3.5000000e+01  -1.0000000e+01   8.9600000e+02   9.0700000e+02   8.9000000e+02   8.3600000e+02   7.7100000e+02   7.4000000e+02   7.6400000e+02   8.2100000e+02   8.7200000e+02   8.9100000e+02   8.8700000e+02   8.8400000e+02
  -3.5000000e+01  -2.0000000e+01   9.4100000e+02   9.1500000e+02   8.4900000e+02   7.5000000e+02   6.5600000e+02   6.1500000e+02   6.4900000e+02   7.3700000e+02   8.3200000e+02   8.9900000e+02   9.3200000e+02   9.4300000e+02
  -3.5000000e+01  -3.0000000e+01   9.6200000e+02   8.9600000e+02   7.8200000e+02   6.4300000e+02   5.2500000e+02   4.7600000e+02   5.1900000e+02   6.3200000e+02   7.6600000e+02   8.8000000e+02   9.5200000e+02   9.7900000e+02
  -3.5000000e+01  -4.0000000e+01   9.5900000e+02   8.5200000e+02   6.9200000e+02   5.1800000e+02   3.8300000e+02   3.3100000e+02   3.7900000e+02   5.0900000e+02   6.7800000e+02   8.3700000e+02   9.4900000e+02   9.9300000e+02
  -3.5000000e+01  -5.0000000e+01   9.3400000e+02   7.8400000e+02   5.8100000e+02   3.8000000e+02   2.3700000e+02   1.8700000e+02   2.3500000e+02   3.7300000e+02   5.6900000e+02   7.7000000e+02   9.2400000e+02   9.8600000e+02
  -3.5000000e+01  -6.0000000e+01   8.9500000e+02   6.9600000e+02   4.5200000e+02   2.3400000e+02   9.9000000e+01   5.8000000e+01   9.8000000e+01   2.3000000e+02   4.4300000e+02   6.8400000e+02   8.8500000e+02   9.7000000e+02
  -3.5000000e+01  -7.0000000e+01   8.6900000e+02   5.9800000e+02   3.0900000e+02   9.2000000e+01   1.0000000e+00   0.0000000e+00   1.0000000e+00   9.0000000e+01   3.0300000e+02   5.8700000e+02   8.6000000e+02   9.9300000e+02
  -3.5000000e+01  -8.0000000e+01   9.0900000e+02   5.3200000e+02   1.5700000e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   1.5400000e+02   5.2300000e+02   9.0000000e+02   1.0410000e+03
  -3.5000000e+01  -9.0000000e+01   9.2400000e+02   5.4100000e+02   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00   5.3100000e+02   9.1400000e+02   1.0570000e+03
