     Antarctic_slope            Shelf_press             SO_press_down_mod
   8.8179978799793515e-02   2.8102613019809638e+02   2.8088062245861147e+02
   8.7032395766265078e-02   2.8304928429521516e+02   2.8290272834155809e+02
   8.5884812732736640e-02   2.8507245812407427e+02   2.8492485393635206e+02
   8.4737229699208202e-02   2.8709565168401832e+02   2.8694699924233890e+02
   8.3589646665679779e-02   2.8911886497439150e+02   2.8896916425886394e+02
   8.2442063632151355e-02   2.9114209799453829e+02   2.9099134898527262e+02
   8.1294480598622917e-02   2.9316535074380312e+02   2.9301355342091040e+02
   8.0146897565094494e-02   2.9518862322153029e+02   2.9503577756512260e+02
   7.8999314531566056e-02   2.9721191542706396e+02   2.9705802141725462e+02
   7.7851731498037632e-02   2.9923522735974865e+02   2.9908028497665168e+02
   7.6704148464509195e-02   3.0125855901892851e+02   3.0110256824265923e+02
   7.5556565430980757e-02   3.0328191040394790e+02   3.0312487121462237e+02
   7.4408982397452333e-02   3.0530528151415092e+02   3.0514719389188667e+02
   7.3261399363923896e-02   3.0732867234888198e+02   3.0716953627379718e+02
   7.2113816330395458e-02   3.0935208290748517e+02   3.0919189835969917e+02
   7.0966233296867035e-02   3.1137551318930457e+02   3.1121428014893786e+02
   6.9818650263338611e-02   3.1339896319368455e+02   3.1323668164085836e+02
   6.8671067229810173e-02   3.1542243291996908e+02   3.1525910283480601e+02
   6.7523484196281736e-02   3.1744592236750231e+02   3.1728154373012575e+02
   6.6375901162753312e-02   3.1946943153562847e+02   3.1930400432616284e+02
   6.5228318129224874e-02   3.2149296042369156e+02   3.2132648462226251e+02
   6.4080735095696451e-02   3.2351650903103547e+02   3.2334898461776953e+02
   6.2933152062168013e-02   3.2554007735700446e+02   3.2537150431202923e+02
   6.1785569028639582e-02   3.2756366540094245e+02   3.2739404370438655e+02
   6.0637985995111152e-02   3.2958727316219353e+02   3.2941660279418664e+02
   5.9490402961582721e-02   3.3161090064010148e+02   3.3143918158077435e+02
